中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,134 ms,142 Mbps,18227 kB/s
158.180.65.145,443,2603:c024:e:6666::6666,KR,Seoul,隧道,134 ms,45 Mbps,5815 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,138 ms,42 Mbps,5481 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,18 ms,44 Mbps,5728 kB/s
8.212.44.95,443,47.76.21.103,HK,Hong Kong,隧道,183 ms,91 Mbps,11673 kB/s
140.238.23.148,443,140.238.23.148,KR,Seoul,中转,253 ms,41 Mbps,5287 kB/s
47.245.104.86,443,8.222.222.65,SG,Singapore,隧道,362 ms,88 Mbps,11264 kB/s
8.222.147.90,443,47.236.1.53,SG,Singapore,隧道,188 ms,89 Mbps,11468 kB/s
129.146.60.210,443,129.146.60.210,US,Los Angeles,中转,53 ms,464 Mbps,59494 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,285 ms,95 Mbps,12185 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,24 ms,26 Mbps,3409 kB/s
158.180.89.73,443,2603:c024:e:6666::8888,KR,Seoul,隧道,133 ms,128 Mbps,16384 kB/s
8.219.199.168,443,8.219.142.198,SG,Singapore,隧道,175 ms,87 Mbps,11161 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,114 ms,1104 Mbps,141312 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,172 ms,83 Mbps,10649 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,222 ms,38 Mbps,4978 kB/s
141.147.48.253,443,2a0b:21c0:1007:1ca:0:d140:261:3486,DE,Frankfurt,隧道,145 ms,136 Mbps,17408 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,130 ms,51 Mbps,6579 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,27 ms,229 Mbps,29388 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,132 ms,193 Mbps,24780 kB/s
